file	percent	reads	taxon_id	taxon_name
Bat-Guano-15_S6_L001_R.kaiju.out	44.958008	47963	11588	Rift Valley fever virus
Bat-Guano-15_S6_L001_R.kaiju.out	3.130741	3340	28295	Porcine epidemic diarrhea virus
Bat-Guano-15_S6_L001_R.kaiju.out	2.846725	3037	693999	Scotophilus bat coronavirus 512
Bat-Guano-15_S6_L001_R.kaiju.out	1.856886	1981	693996	Alphacoronavirus
Bat-Guano-15_S6_L001_R.kaiju.out	1.409771	1504	1384461	Bat coronavirus CDPHE15/USA/2006
Bat-Guano-15_S6_L001_R.kaiju.out	0.912977	974	129951	Human mastadenovirus C
Bat-Guano-15_S6_L001_R.kaiju.out	0.476173	508	11676	Human immunodeficiency virus 1
Bat-Guano-15_S6_L001_R.kaiju.out	0.470549	502	1503289	BtMr-AlphaCoV/SAX2011
Bat-Guano-15_S6_L001_R.kaiju.out	0.421806	450	1503292	BtRf-AlphaCoV/HuB2013
Bat-Guano-15_S6_L001_R.kaiju.out	0.421806	450	2509505	Pedacovirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.419932	448	11584	Phlebovirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.388062	414	1920748	NL63-related bat coronavirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.333696	356	2492658	Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015
Bat-Guano-15_S6_L001_R.kaiju.out	0.256833	274	1503291	BtNv-AlphaCoV/SC2013
Bat-Guano-15_S6_L001_R.kaiju.out	0.240898	257	35269	Woodchuck hepatitis virus
Bat-Guano-15_S6_L001_R.kaiju.out	0.209029	223	2509503	Nyctacovirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.208091	222	1241933	Rousettus bat coronavirus HKU10
Bat-Guano-15_S6_L001_R.kaiju.out	0.202467	216	2509509	Rhinacovirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.128417	137	10405	Orthohepadnavirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.126542	135	393767	Bat coronavirus 1A
Bat-Guano-15_S6_L001_R.kaiju.out	0.117168	125	694001	Miniopterus bat coronavirus HKU8
Bat-Guano-15_S6_L001_R.kaiju.out	0.079675	85	10509	Mastadenovirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.075925	81	766791	Mink coronavirus strain WD1127
Bat-Guano-15_S6_L001_R.kaiju.out	0.070301	75	37914	Dietzia
Bat-Guano-15_S6_L001_R.kaiju.out	0.069364	74	613	Serratia
Bat-Guano-15_S6_L001_R.kaiju.out	0.062802	67	693997	Alphacoronavirus 1
Bat-Guano-15_S6_L001_R.kaiju.out	0.050617	54	10780	Parvoviridae
Bat-Guano-15_S6_L001_R.kaiju.out	0.048742	52	2509496	Minacovirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.044055	47	1508224	Lucheng Rn rat coronavirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.043118	46	59195	Rickettsiella
Bat-Guano-15_S6_L001_R.kaiju.out	0.038431	41	945962	Mosquito densovirus BR/07
Bat-Guano-15_S6_L001_R.kaiju.out	0.037494	40	11137	Human coronavirus 229E
Bat-Guano-15_S6_L001_R.kaiju.out	0.030932	33	572289	Munia coronavirus HKU13-3514
Bat-Guano-15_S6_L001_R.kaiju.out	0.029058	31	1264898	Ferret coronavirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.029058	31	2509497	Minunacovirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.028120	30	1159908	Wigeon coronavirus HKU20
Bat-Guano-15_S6_L001_R.kaiju.out	0.025308	27	1159906	Sparrow coronavirus HKU17
Bat-Guano-15_S6_L001_R.kaiju.out	0.024371	26	1964806	Coronavirus AcCoV-JC34
Bat-Guano-15_S6_L001_R.kaiju.out	0.022496	24	2509479	Decacovirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.021559	23	1503293	BtRf-AlphaCoV/YN2012
Bat-Guano-15_S6_L001_R.kaiju.out	0.019684	21	10407	Hepatitis B virus
Bat-Guano-15_S6_L001_R.kaiju.out	0.017810	19	694015	Beluga whale coronavirus SW1
Bat-Guano-15_S6_L001_R.kaiju.out	0.015935	17	2059380	Flamingopox virus FGPVKD09
Bat-Guano-15_S6_L001_R.kaiju.out	0.014998	16	1776109	Goose dicistrovirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.014998	16	2509512	Setracovirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.012186	13	10406	Ground squirrel hepatitis virus
Bat-Guano-15_S6_L001_R.kaiju.out	0.012186	13	2501931	Orthocoronavirinae
Bat-Guano-15_S6_L001_R.kaiju.out	0.011248	12	1766554	Swine enteric coronavirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.010311	11	11135	Feline infectious peritonitis virus
Bat-Guano-15_S6_L001_R.kaiju.out	0.010311	11	28231	Geobacter
Bat-Guano-15_S6_L001_R.kaiju.out	0.010311	11	53335	Pantoea
Bat-Guano-15_S6_L001_R.kaiju.out	0.010311	11	1048854	Munguba virus
Bat-Guano-15_S6_L001_R.kaiju.out	0.010311	11	1590370	Betacoronavirus HKU24
Bat-Guano-15_S6_L001_R.kaiju.out	0.008436	9	1699095	Camel alphacoronavirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.007499	8	40122	Iteradensovirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.007499	8	47251	Leptolyngbya
Bat-Guano-15_S6_L001_R.kaiju.out	0.006561	7	570	Klebsiella
Bat-Guano-15_S6_L001_R.kaiju.out	0.006561	7	1111	Porphyrobacter
Bat-Guano-15_S6_L001_R.kaiju.out	0.006561	7	277944	Human coronavirus NL63
Bat-Guano-15_S6_L001_R.kaiju.out	0.006561	7	2304514	Culex circovirus-like virus
Bat-Guano-15_S6_L001_R.kaiju.out	0.005624	6	561	Escherichia
Bat-Guano-15_S6_L001_R.kaiju.out	0.004687	5	170621	Perina nuda virus
Bat-Guano-15_S6_L001_R.kaiju.out	0.004687	5	1006585	Durania virus
Bat-Guano-15_S6_L001_R.kaiju.out	0.003749	4	10359	Human betaherpesvirus 5
Bat-Guano-15_S6_L001_R.kaiju.out	0.003749	4	232799	Iflavirus
Bat-Guano-15_S6_L001_R.kaiju.out	0.003749	4	1923206	Hubei sobemo-like virus 20
Bat-Guano-15_S6_L001_R.kaiju.out	0.002812	3	1386	Bacillus
Bat-Guano-15_S6_L001_R.kaiju.out	0.002812	3	1654	Actinomyces
Bat-Guano-15_S6_L001_R.kaiju.out	0.002812	3	1696	Brevibacterium
Bat-Guano-15_S6_L001_R.kaiju.out	0.002812	3	39724	Circoviridae
Bat-Guano-15_S6_L001_R.kaiju.out	0.002812	3	43668	Brachybacterium
Bat-Guano-15_S6_L001_R.kaiju.out	0.001875	2	416	Methylomonas
Bat-Guano-15_S6_L001_R.kaiju.out	0.001875	2	590	Salmonella
Bat-Guano-15_S6_L001_R.kaiju.out	0.001875	2	1350	Enterococcus
Bat-Guano-15_S6_L001_R.kaiju.out	0.001875	2	1485	Clostridium
Bat-Guano-15_S6_L001_R.kaiju.out	0.001875	2	1716	Corynebacterium
Bat-Guano-15_S6_L001_R.kaiju.out	0.001875	2	1883	Streptomyces
Bat-Guano-15_S6_L001_R.kaiju.out	0.001875	2	2093	Mycoplasma
