 26.62	28400	28400	U	0	unclassified
 73.38	78284	3410	R	1	root
 53.06	56606	0	D	10239	  Viruses
 51.81	55276	0	D1	2559587	    Riboviria
 50.58	53958	0	K	2732396	      Orthornavirae
 48.87	52138	0	P	2497569	        Negarnaviricota
 48.87	52138	0	P1	2497571	          Polyploviricotina
 48.87	52138	0	C	2497576	            Ellioviricetes
 48.87	52138	0	O	1980410	              Bunyavirales
 48.87	52138	0	F	1980418	                Phenuiviridae
 48.87	52138	0	G	11584	                  Phlebovirus
 48.87	52138	0	S	1933187	                    Rift Valley fever phlebovirus
 48.87	52138	52138	S1	11588	                      Rift Valley fever virus
  1.71	1820	0	P	2732408	        Pisuviricota
  1.71	1820	0	C	2732506	          Pisoniviricetes
  1.67	1786	0	O	76804	            Nidovirales
  1.67	1786	0	O1	2499399	              Cornidovirineae
  1.67	1786	0	F	11118	                Coronaviridae
  1.67	1786	40	F1	2501931	                  Orthocoronavirinae
  1.53	1627	153	G	693996	                    Alphacoronavirus
  0.95	1015	1	G1	2509505	                      Pedacovirus
  0.53	568	568	S	28295	                        Porcine epidemic diarrhea virus
  0.42	446	446	S	693999	                        Scotophilus bat coronavirus 512
  0.11	120	0	G1	2509503	                      Nyctacovirus
  0.10	111	0	S	2501928	                        Nyctalus velutinus alphacoronavirus SC-2013
  0.10	111	111	S1	1503291	                          BtNv-AlphaCoV/SC2013
  0.01	9	0	G2	2727852	                        unclassified Nyctacovirus
  0.01	9	9	S	2492658	                          Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015
  0.09	96	0	G1	2509512	                      Setracovirus
  0.09	95	0	S	2501929	                        NL63-related bat coronavirus strain BtKYNL63-9b
  0.09	95	95	S1	1920748	                          NL63-related bat coronavirus
  0.00	1	1	S	277944	                        Human coronavirus NL63
  0.09	95	0	G1	2509492	                      Luchacovirus
  0.09	93	93	S	1508224	                        Lucheng Rn rat coronavirus
  0.00	2	0	G2	2724758	                        unclassified Luchacovirus
  0.00	2	2	S	1964806	                          Coronavirus AcCoV-JC34
  0.06	62	0	G1	2509496	                      Minacovirus
  0.06	62	0	S	1913642	                        Mink coronavirus 1
  0.06	62	62	S1	766791	                          Mink coronavirus strain WD1127
  0.05	49	0	G1	2509497	                      Minunacovirus
  0.04	44	12	S	694000	                        Miniopterus bat coronavirus 1
  0.03	30	30	S1	393768	                          Bat coronavirus 1B
  0.00	2	2	S1	393767	                          Bat coronavirus 1A
  0.00	5	5	S	694001	                        Miniopterus bat coronavirus HKU8
  0.02	18	0	G1	2509500	                      Myotacovirus
  0.02	18	0	S	2501927	                        Myotis ricketti alphacoronavirus Sax-2011
  0.02	18	18	S1	1503289	                          BtMr-AlphaCoV/SAX2011
  0.01	11	0	G1	2509477	                      Colacovirus
  0.01	11	0	S	1913643	                        Bat coronavirus CDPHE15
  0.01	11	11	S1	1384461	                          Bat coronavirus CDPHE15/USA/2006
  0.00	4	0	G1	2509514	                      Tegacovirus
  0.00	4	4	S	693997	                        Alphacoronavirus 1
  0.00	2	0	G1	2509480	                      Duvinacovirus
  0.00	2	2	S	11137	                        Human coronavirus 229E
  0.00	1	0	G1	366617	                      unclassified Alphacoronavirus
  0.00	1	1	S	1508228	                        Wencheng Sm shrew coronavirus
  0.00	1	0	G1	2509479	                      Decacovirus
  0.00	1	0	S	1244203	                        Bat coronavirus HKU10
  0.00	1	1	S1	1241933	                          Rousettus bat coronavirus HKU10
  0.08	89	0	G	694013	                    Gammacoronavirus
  0.08	83	0	G1	2509487	                      Igacovirus
  0.08	83	48	S	694014	                        Avian coronavirus
  0.03	35	35	S1	300188	                          Duck coronavirus
  0.01	6	0	G1	1433214	                      unclassified Gammacoronavirus
  0.01	6	6	S	2569586	                        Canada goose coronavirus
  0.02	26	0	G	1159901	                    Deltacoronavirus
  0.02	26	0	G1	2509474	                      Buldecovirus
  0.02	26	26	S	1159907	                        White-eye coronavirus HKU16
  0.00	4	0	G	694002	                    Betacoronavirus
  0.00	2	0	G1	2509494	                      Merbecovirus
  0.00	2	0	S	1965093	                        Hedgehog coronavirus 1
  0.00	2	2	S1	1385427	                          Betacoronavirus Erinaceus/VMC/DEU/2012
  0.00	2	2	G1	2509511	                      Sarbecovirus
  0.03	34	0	O	464095	            Picornavirales
  0.01	15	0	F	12058	              Picornaviridae
  0.01	14	14	G	1511775	                Gallivirus
  0.00	1	0	G	12103	                Cardiovirus
  0.00	1	0	S	1821750	                  Cardiovirus B
  0.00	1	1	S1	204711	                    Theilovirus
  0.01	15	0	F	232795	              Dicistroviridae
  0.01	15	0	F1	336635	                unclassified Dicistroviridae
  0.01	15	15	S	1776109	                  Goose dicistrovirus
  0.00	4	0	F	699189	              Iflaviridae
  0.00	4	0	G	232799	                Iflavirus
  0.00	4	4	S	232800	                  Varroa destructor virus 1
  1.24	1318	0	K	2732397	      Pararnavirae
  1.24	1318	0	P	2732409	        Artverviricota
  1.24	1318	3	C	2732514	          Revtraviricetes
  0.72	769	0	O	2169561	            Ortervirales
  0.72	769	0	F	11632	              Retroviridae
  0.72	769	0	F1	327045	                Orthoretrovirinae
  0.72	769	0	G	11646	                  Lentivirus
  0.72	769	769	S	11676	                    Human immunodeficiency virus 1
  0.51	546	0	O	2732515	            Blubervirales
  0.51	546	0	F	10404	              Hepadnaviridae
  0.51	546	13	G	10405	                Orthohepadnavirus
  0.50	530	530	S	35269	                  Woodchuck hepatitis virus
  0.00	3	3	S	2049933	                  Pomona bat hepatitis B virus
  1.14	1214	0	D1	2732004	    Varidnaviria
  1.14	1214	0	K	2732005	      Bamfordvirae
  1.14	1214	0	P	2732008	        Preplasmiviricota
  1.14	1214	0	C	2732529	          Tectiliviricetes
  1.14	1214	0	O	2732559	            Rowavirales
